ID,NOM_TOPOGRAPHIE,VILLE,ARRONDISSEMENT,ID_VOIE_PUBLIQUE,LATITUDE,LONGITUDE
1205,Boulevard Neuvialle,Québec,Les Rivières,103795,46.81331332074912,-71.31414979853145
18056,Chemin des Quatre-Bourgeois,Québec,Sainte-Foy–Sillery–Cap-Rouge,118832,46.78426740395248,-71.28409249179964
14456,Boulevard Wilfrid-Hamel,Québec,Les Rivières,106027,46.806157631256085,-71.3218995434584
9460,Rue de Meursault,Québec,La Haute-Saint-Charles,115918,46.87116133062066,-71.32295247237423
19535,Rue Philippe-Brodeur,Québec,Sainte-Foy–Sillery–Cap-Rouge,116207,46.77670338231249,-71.26465059465637
4334,Boulevard de l'Ormière,Québec,Les Rivières,103854,46.82041710732916,-71.33416512302841
21523,Avenue Saint-Jean-Baptiste,Québec,Les Rivières,105190,46.805521944604,-71.33465746635093
19382,Rue Negabamat,Québec,Sainte-Foy–Sillery–Cap-Rouge,116054,46.768885795587764,-71.26537795702994
10464,Avenue Giguère,Québec,Les Rivières,113893,46.814730594438245,-71.25914904787956
19669,Avenue Holland,Québec,Sainte-Foy–Sillery–Cap-Rouge,105613,46.78963190850376,-71.2465957741887
6884,Rue Montpellier,Québec,Beauport,127114,46.886655316180224,-71.22017199175411
14198,Boulevard Louis-XIV,Québec,Beauport,127575,46.892857293656455,-71.21060128768437
14763,Rue du Menuet,Québec,Beauport,128472,46.88321503925058,-71.16428232165788
5791,Rue de Cholet,Québec,Beauport,128274,46.89156366797012,-71.16860930357296
52249,Côte Benson-Hall,Québec,Beauport,128562,46.88390689123696,-71.1511395112333
9441,Rue de Beaune,Québec,La Haute-Saint-Charles,115615,46.86704982130586,-71.32640980171973
19107,Rue Isidore-Garon,Québec,Sainte-Foy–Sillery–Cap-Rouge,120093,46.77606485813076,-71.3033775147959
10859,Avenue Rousseau,Québec,Les Rivières,113870,46.817056279177564,-71.25685371516148
930,Rue Dion,Québec,Les Rivières,,46.816022422458715,-71.2935768321278
4755,Rue de l'Aude,Québec,Beauport,126154,46.902553255303765,-71.20450293910433
19471,Avenue De Monceaux,Québec,Sainte-Foy–Sillery–Cap-Rouge,116024,46.76587141753518,-71.26873480828999
19159,Rue Nelles,Québec,Sainte-Foy–Sillery–Cap-Rouge,118073,46.77081989311582,-71.27005846816488
169951,Rue des Châtelets,Québec,Sainte-Foy–Sillery–Cap-Rouge,,46.76462876592729,-71.29766230663502
1197,Rue Claisse,Québec,Les Rivières,101546,46.81482449327482,-71.3144570765049
18981,Rue des Châtelets,Québec,Sainte-Foy–Sillery–Cap-Rouge,119563,46.76579012926988,-71.29785862437292
18965,Rue des Châtelets,Québec,Sainte-Foy–Sillery–Cap-Rouge,119557,46.766506009653604,-71.2965305479199
9385,Rue Françoise-Giffard,Québec,La Haute-Saint-Charles,115545,46.86664251313406,-71.3409727433633
1087,Rue Jeanne-d'Arc,Québec,La Cité-Limoilou,102711,46.80499463917984,-71.23454677158959
12320,Rue Longchamps,Québec,La Haute-Saint-Charles,115878,46.88307163736452,-71.34422348871128
14563,Avenue Lapierre,Québec,La Haute-Saint-Charles,115844,46.87456993063583,-71.33976758363838
